Points:0,Points:1,Points:2,vtkOriginalIndices
1.86301,-0.193373,0,374
1.85513,-0.160853,0,375
1.84822,-0.132328,0,376
1.84216,-0.107305,0,377
1.83685,-0.0853552,0,378
1.83219,-0.066101,0,379
1.8281,-0.0492114,0,380
1.82451,-0.034396,0,381
1.82136,-0.0214,0,382
1.8186,-0.01,0,383
1.81618,4.68046e-09,0,384
2.56278,-3.5,0,385
2.51565,-3.30754,0,386
2.46852,-3.11509,0,387
2.4214,-2.92263,0,388
2.37427,-2.73017,0,389
2.32714,-2.53771,0,390
2.28002,-2.34526,0,391
2.23289,-2.1528,0,392
2.18576,-1.96034,0,393
2.13864,-1.76788,0,394
2.09151,-1.57543,0,395
2.04439,-1.38297,0,396
2.00065,-1.20436,0,397
1.96229,-1.04768,0,398
1.92863,-0.910249,0,399
1.89911,-0.789692,0,400
1.87322,-0.683941,0,401
1.8505,-0.591176,0,402
1.83058,-0.509804,0,403
1.8131,-0.438424,0,404
1.79777,-0.375811,0,405
1.78432,-0.320887,0,406
1.77252,-0.272707,0,407
1.76217,-0.230445,0,408
1.75309,-0.193373,0,409
1.74513,-0.160853,0,410
1.73815,-0.132328,0,411
1.73202,-0.107305,0,412
1.72664,-0.0853552,0,413
1.72193,-0.066101,0,414
1.71779,-0.0492114,0,415
1.71417,-0.034396,0,416
1.71098,-0.0214,0,417
1.70819,-0.00999999,0,418
1.70574,4.91716e-09,0,419
2.46686,-3.5,0,420
2.41959,-3.30754,0,421
2.37232,-3.11509,0,422
2.32505,-2.92263,0,423
2.27778,-2.73017,0,424
2.23052,-2.53771,0,425
2.18325,-2.34526,0,426
2.13598,-2.1528,0,427
2.08871,-1.96034,0,428
2.04144,-1.76788,0,429
1.99417,-1.57543,0,430
1.9469,-1.38297,0,431
1.90303,-1.20436,0,432
1.86455,-1.04768,0,433
1.8308,-0.910249,0,434
1.80119,-0.789692,0,435
1.77521,-0.683941,0,436
1.75243,-0.591176,0,437
1.73244,-0.509804,0,438
1.71491,-0.438424,0,439
1.69953,-0.375811,0,440
1.68604,-0.320887,0,441
1.67421,-0.272707,0,442
1.66383,-0.230445,0,443
1.65473,-0.193373,0,444
1.64674,-0.160853,0,445
1.63973,-0.132328,0,446
1.63359,-0.107305,0,447
1.6282,-0.0853552,0,448
1.62347,-0.066101,0,449
1.61932,-0.0492114,0,450
1.61568,-0.034396,0,451
1.61249,-0.0214,0,452
1.60969,-0.00999999,0,453
1.60723,5.12829e-09,0,454
2.37575,-3.5,0,455
2.32866,-3.30754,0,456
2.28157,-3.11509,0,457
2.23448,-2.92263,0,458
2.18739,-2.73017,0,459
2.14029,-2.53771,0,460
2.0932,-2.34526,0,461
2.04611,-2.1528,0,462
1.99902,-1.96034,0,463
1.95193,-1.76788,0,464
1.90484,-1.57543,0,465
1.85775,-1.38297,0,466
1.81404,-1.20436,0,467
1.77571,-1.04768,0,468
1.74208,-0.910249,0,469
1.71258,-0.789692,0,470
1.68671,-0.683941,0,471
1.66401,-0.591176,0,472
1.6441,-0.509804,0,473
1.62663,-0.438424,0,474
1.61131,-0.375811,0,475
1.59787,-0.320887,0,476
1.58608,-0.272707,0,477
1.57574,-0.230445,0,478
1.56667,-0.193373,0,479
1.55872,-0.160853,0,480
1.55174,-0.132328,0,481
1.54561,-0.107305,0,482
1.54024,-0.0853552,0,483
1.53553,-0.066101,0,484
1.5314,-0.0492114,0,485
1.52777,-0.034396,0,486
1.52459,-0.0214,0,487
1.5218,-0.00999999,0,488
1.51936,5.31662e-09,0,489
2.28924,-3.5,0,490
2.2426,-3.30754,0,491
2.19595,-3.11509,0,492
2.14931,-2.92263,0,493
2.10267,-2.73017,0,494
2.05602,-2.53771,0,495
2.00938,-2.34526,0,496
1.96273,-2.1528,0,497
1.91609,-1.96034,0,498
1.86944,-1.76788,0,499
1.8228,-1.57543,0,500
1.77615,-1.38297,0,501
1.73287,-1.20436,0,502
1.69489,-1.04768,0,503
1.66158,-0.910249,0,504
1.63237,-0.789692,0,505
1.60674,-0.683941,0,506
1.58425,-0.591176,0,507
1.56453,-0.509804,0,508
1.54723,-0.438424,0,509
1.53206,-0.375811,0,510
1.51874,-0.320887,0,511
1.50707,-0.272707,0,512
1.49682,-0.230445,0,513
1.48784,-0.193373,0,514
1.47996,-0.160853,0,515
1.47304,-0.132328,0,516
1.46698,-0.107305,0,517
1.46166,-0.0853552,0,518
1.45699,-0.066101,0,519
1.4529,-0.0492114,0,520
1.44931,-0.034396,0,521
1.44616,-0.0214,0,522
1.4434,-0.00999999,0,523
1.44097,5.48462e-09,0,524
2.20715,-3.5,0,525
2.16118,-3.30754,0,526
2.1152,-3.11509,0,527
2.06923,-2.92263,0,528
2.02325,-2.73017,0,529
1.97728,-2.53771,0,530
1.9313,-2.34526,0,531
1.88533,-2.1528,0,532
1.83935,-1.96034,0,533
1.79337,-1.76788,0,534
1.7474,-1.57543,0,535
1.70142,-1.38297,0,536
1.65876,-1.20436,0,537
1.62133,-1.04768,0,538
1.5885,-0.910249,0,539
1.5597,-0.789692,0,540
1.53444,-0.683941,0,541
1.51228,-0.591176,0,542
1.49284,-0.509804,0,543
1.47579,-0.438424,0,544
1.46083,-0.375811,0,545
1.44771,-0.320887,0,546
1.4362,-0.272707,0,547
1.4261,-0.230445,0,548
1.41725,-0.193373,0,549
1.40948,-0.160853,0,550
1.40266,-0.132328,0,551
1.39669,-0.107305,0,552
1.39144,-0.0853552,0,553
1.38684,-0.066101,0,554
1.38281,-0.0492114,0,555
1.37927,-0.034396,0,556
1.37617,-0.0214,0,557
1.37344,-0.00999999,0,558
1.37105,5.63448e-09,0,559
2.12929,-3.5,0,560
2.08417,-3.30754,0,561
2.03904,-3.11509,0,562
1.99392,-2.92263,0,563
1.9488,-2.73017,0,564
1.90367,-2.53771,0,565
1.85855,-2.34526,0,566
1.81343,-2.1528,0,567
1.7683,-1.96034,0,568
1.72318,-1.76788,0,569
1.67806,-1.57543,0,570
1.63293,-1.38297,0,571
1.59106,-1.20436,0,572
1.55432,-1.04768,0,573
1.5221,-0.910249,0,574
1.49383,-0.789692,0,575
1.46904,-0.683941,0,576
1.44729,-0.591176,0,577
1.42821,-0.509804,0,578
1.41148,-0.438424,0,579
1.3968,-0.375811,0,580
1.38392,-0.320887,0,581
1.37262,-0.272707,0,582
1.36271,-0.230445,0,583
1.35402,-0.193373,0,584
1.3464,-0.160853,0,585
1.33971,-0.132328,0,586
1.33384,-0.107305,0,587
1.3287,-0.0853552,0,588
1.32418,-0.066101,0,589
1.32022,-0.0492114,0,590
1.31675,-0.034396,0,591
1.3137,-0.0214,0,592
1.31103,-0.00999999,0,593
1.30868,5.76815e-09,0,594
2.05548,-3.5,0,595
2.01136,-3.30754,0,596
1.96723,-3.11509,0,597
1.92311,-2.92263,0,598
