x,y,value
15,23,0.60633
15,24,0.60633
15,25,0.60633
15,26,0.60633
15,27,0.60633
15,28,0.60633
15,29,0.60633
15,30,0.60633
15,31,0.60633
15,32,0.60633
15,33,0.60633
15,34,0.60633
15,35,0.60633
16,0,0.60633
16,1,0.60633
16,2,0.60633
16,3,0.60633
16,4,0.60633
16,5,0.60633
16,6,0.60633
16,7,0.60633
16,8,0.60633
16,9,0.60633
16,10,0.60633
16,11,0.60633
16,12,0.60633
16,13,0.60633
16,14,0.60633
16,15,0.60633
16,16,0.60633
16,17,0.60633
16,18,0.60633
16,19,0.60633
16,20,0.60633
16,21,0.60633
16,22,0.60633
16,23,0.60633
16,24,0.60633
16,25,0.60633
16,26,0.60633
16,27,0.60633
16,28,0.60633
16,29,0.60633
16,30,0.60633
16,31,0.60633
16,32,0.60633
16,33,0.60633
16,34,0.60633
16,35,0.60633
17,0,0.60633
17,1,0.60633
17,2,0.60633
17,3,0.60633
17,4,0.60633
17,5,0.60633
17,6,0.60633
17,7,0.60633
17,8,0.60633
17,9,0.60633
17,10,0.60633
17,11,0.60633
17,12,0.60633
17,13,0.60633
17,14,0.60633
17,15,0.60633
17,16,0.60633
17,17,0.60633
17,18,0.60633
17,19,0.60633
17,20,0.60633
17,21,0.60633
17,22,0.60633
17,23,0.60633
17,24,0.60633
17,25,0.60633
17,26,0.60633
17,27,0.60633
17,28,0.60633
17,29,0.60633
17,30,0.60633
17,31,0.60633
17,32,0.60633
17,33,0.60633
17,34,0.60633
17,35,0.60633
18,0,0.60633
18,1,0.60633
18,2,0.60633
18,3,0.60633
18,4,0.60633
18,5,0.60633
18,6,0.60633
18,7,0.60633
18,8,0.60633
18,9,0.60633
18,10,0.60633
18,11,0.60633
18,12,0.60633
18,13,0.60633
18,14,0.60633
18,15,0.60633
18,16,0.60633
18,17,0.60633
18,18,0.60633
18,19,0.60633
18,20,0.60633
18,21,0.60633
18,22,0.60633
18,23,0.60633
18,24,0.60633
18,25,0.60633
18,26,0.60633
18,27,0.60633
18,28,0.60633
18,29,0.60633
18,30,0.60633
18,31,0.60633
18,32,0.60633
18,33,0.60633
18,34,0.60633
18,35,0.60633
19,0,0.60633
19,1,0.60633
19,2,0.60633
19,3,0.60633
19,4,0.60633
19,5,0.60633
19,6,0.60633
19,7,0.60633
19,8,0.60633
19,9,0.60633
19,10,0.60633
19,11,0.60633
19,12,0.60633
19,13,0.60633
19,14,0.60633
19,15,0.60633
19,16,0.60633
19,17,0.60633
19,18,0.60633
19,19,0.60633
19,20,0.60633
19,21,0.60633
19,22,0.60633
19,23,0.60633
19,24,0.60633
19,25,0.60633
19,26,0.60633
19,27,0.60633
19,28,0.60633
19,29,0.60633
19,30,0.60633
19,31,0.60633
19,32,0.60633
19,33,0.60633
19,34,0.60633
19,35,0.60633
20,0,0.60633
20,1,0.60633
20,2,0.60633
20,3,0.60633
20,4,0.60633
20,5,0.60633
20,6,0.60633
20,7,0.60633
20,8,0.60633
20,9,0.60633
20,10,0.60633
20,11,0.60633
20,12,0.60633
20,13,0.60633
20,14,0.60633
20,15,0.60633
20,16,0.60633
20,17,0.60633
20,18,0.60633
20,19,0.60633
20,20,0.60633
20,21,0.60633
20,22,0.60633
20,23,0.60633
20,24,0.60633
20,25,0.60633
20,26,0.60633
20,27,0.60633
20,28,0.60633
20,29,0.60633
20,30,0.60633
20,31,0.60633
20,32,0.60633
20,33,0.60633
20,34,0.60633
20,35,0.60633
21,0,0.60633
21,1,0.60633
21,2,0.60633
21,3,0.60633
21,4,0.60633
21,5,0.60633
21,6,0.60633
21,7,0.60633
21,8,0.60633
21,9,0.60633
21,10,0.60633
21,11,0.60633
21,12,0.60633
21,13,0.60633
21,14,0.60633
21,15,0.60633
21,16,0.60633
21,17,0.60633
21,18,0.60633
21,19,0.60633
21,20,0.60633
21,21,0.60633
21,22,0.60633
21,23,0.60633
21,24,0.60633
21,25,0.60633
21,26,0.60633
21,27,0.60633
21,28,0.60633
21,29,0.60633
21,30,0.60633
21,31,0.60633
21,32,0.60633
21,33,0.60633
21,34,0.60633
21,35,0.60633
22,0,0.60633
22,1,0.60633
22,2,0.60633
22,3,0.60633
22,4,0.60633
22,5,0.60633
22,6,0.60633
22,7,0.60633
22,8,0.60633
22,9,0.60633
22,10,0.60633
22,11,0.60633
22,12,0.60633
22,13,0.60633
22,14,0.60633
22,15,0.60633
22,16,0.60633
22,17,0.60633
22,18,0.60633
22,19,0.60633
22,20,0.60633
22,21,0.60633
22,22,0.60633
22,23,0.60633
22,24,0.60633
22,25,0.60633
22,26,0.60633
22,27,0.60633
22,28,0.60633
22,29,0.60633
22,30,0.60633
22,31,0.60633
22,32,0.60633
22,33,0.60633
22,34,0.60633
22,35,0.60633
23,0,0.60633
23,1,0.60633
23,2,0.60633
23,3,0.60633
23,4,0.60633
23,5,0.60633
23,6,0.60633
23,7,0.60633
23,8,0.60633
23,9,0.60633
23,10,0.60633
23,11,0.60633
23,12,0.60633
23,13,0.60633
23,14,0.60633
23,15,0.60633
23,16,0.60633
23,17,0.60633
23,18,0.60633
23,19,0.60633
23,20,0.60633
23,21,0.60633
23,22,0.60633
23,23,0.60633
23,24,0.60633
23,25,0.60633
23,26,0.60633
23,27,0.60633
23,28,0.60633
23,29,0.60633
23,30,0.60633
23,31,0.60633
23,32,0.60633
23,33,0.60633
23,34,0.60633
23,35,0.60633
24,0,0.60633
24,1,0.60633
24,2,0.60633
24,3,0.60633
24,4,0.60633
24,5,0.60633
24,6,0.60633
24,7,0.60633
24,8,0.60633
24,9,0.60633
24,10,0.60633
24,11,0.60633
24,12,0.60633
24,13,0.60633
24,14,0.60633
24,15,0.60633
24,16,0.60633
24,17,0.60633
24,18,0.60633
24,19,0.60633
24,20,0.60633
24,21,0.60633
24,22,0.60633
24,23,0.60633
24,24,0.60633
24,25,0.60633
24,26,0.60633
24,27,0.60633
24,28,0.60633
24,29,0.60633
24,30,0.60633
24,31,0.60633
24,32,0.60633
24,33,0.60633
24,34,0.60633
24,35,0.60633
25,0,0.60633
25,1,0.60633
25,2,0.60633
25,3,0.60633
25,4,0.60633
25,5,0.60633
25,6,0.60633
25,7,0.60633
25,8,0.60633
25,9,0.60633
25,10,0.60633
25,11,0.60633
25,12,0.60633
25,13,0.60633
25,14,0.60633
25,15,0.60633
25,16,0.60633
25,17,0.60633
25,18,0.60633
25,19,0.60633
25,20,0.60633
25,21,0.60633
25,22,0.60633
25,23,0.60633
25,24,0.60633
25,25,0.60633
25,26,0.60633
25,27,0.60633
25,28,0.60633
25,29,0.60633
25,30,0.60633
25,31,0.60633
25,32,0.60633
25,33,0.60633
25,34,0.60633
25,35,0.60633
26,0,0.60633
26,1,0.60633
26,2,0.60633
26,3,0.60633
26,4,0.60633
26,5,0.60633
26,6,0.60633
26,7,0.60633
26,8,0.60633
26,9,0.60633
26,10,0.60633
26,11,0.60633
26,12,0.60633
26,13,0.60633
26,14,0.60633
26,15,0.60633
26,16,0.60633
26,17,0.60633
26,18,0.60633
26,19,0.60633
26,20,0.60633
26,21,0.60633
26,22,0.60633
26,23,0.60633
26,24,0.60633
26,25,0.60633
26,26,0.60633
26,27,0.60633
26,28,0.60633
26,29,0.60633
26,30,0.60633
26,31,0.60633
26,32,0.60633
26,33,0.60633
26,34,0.60633
26,35,0.60633
27,0,0.60633
27,1,0.60633
27,2,0.60633
27,3,0.60633
27,4,0.60633
27,5,0.60633
27,6,0.60633
27,7,0.60633
27,8,0.60633
27,9,0.60633
27,10,0.60633
27,11,0.60633
27,12,0.60633
27,13,0.60633
27,14,0.60633
27,15,0.60633
27,16,0.60633
27,17,0.60633
27,18,0.60633
27,19,0.60633
27,20,0.60633
27,21,0.60633
27,22,0.60633
27,23,0.60633
27,24,0.60633
27,25,0.60633
27,26,0.60633
27,27,0.60633
27,28,0.60633
27,29,0.60633
27,30,0.60633
27,31,0.60633
27,32,0.60633
27,33,0.60633
27,34,0.60633
27,35,0.60633
28,0,0.60633
28,1,0.60633
28,2,0.60633
28,3,0.60633
28,4,0.60633
28,5,0.60633
28,6,0.60633
28,7,0.60633
28,8,0.60633
28,9,0.60633
28,10,0.60633
28,11,0.60633
28,12,0.60633
28,13,0.60633
28,14,0.60633
28,15,0.60633
28,16,0.60633
28,17,0.60633
28,18,0.60633
28,19,0.60633
28,20,0.60633
28,21,0.60633
28,22,0.60633
28,23,0.60633
28,24,0.60633
28,25,0.60633
28,26,0.60633
28,27,0.60633
28,28,0.60633
28,29,0.60633
28,30,0.60633
28,31,0.60633
28,32,0.60633
28,33,0.60633
28,34,0.60633
28,35,0.60633
29,0,0.60633
29,1,0.60633
29,2,0.60633
29,3,0.60633
29,4,0.60633
29,5,0.60633
29,6,0.60633
29,7,0.60633
29,8,0.60633
29,9,0.60633
29,10,0.60633
29,11,0.60633
29,12,0.60633
29,13,0.60633
29,14,0.60633
29,15,0.60633
29,16,0.60633
29,17,0.60633
29,18,0.60633
29,19,0.60633
29,20,0.60633
29,21,0.60633
29,22,0.60633
29,23,0.60633
29,24,0.60633
29,25,0.60633
29,26,0.60633
29,27,0.60633
29,28,0.60633
29,29,0.60633
29,30,0.60633
29,31,0.60633
29,32,0.60633
29,33,0.60633
29,34,0.60633
29,35,0.60633
